Lat,Lng,Alt,Spd
-117.6310091,-0.25,0.02,308.14
-117.631009,-0.24,0.06,308.14
-117.631009,-0.23,0.04,308.14
-117.631009,-0.22,0.02,308.14
-117.6310091,-0.22,0.02,308.14
-117.6310092,-0.21,0.03,308.14
-117.6310092,-0.2,0.03,308.14
-117.6310093,-0.2,0.04,308.14
-117.6310094,-0.19,0.04,308.14
-117.6310094,-0.18,0.04,308.14
-117.6310094,-0.17,0.02,308.14
-117.6310093,-0.17,0.01,308.14
-117.6310093,-0.16,0.02,308.14
-117.6310092,-0.16,0.06,308.14
-117.6310093,-0.16,0.02,308.14
-117.6310094,-0.17,0.04,308.14
-117.6310094,-0.17,0.03,308.14
-117.6310095,-0.17,0.04,308.14
-117.6310097,-0.18,0.03,308.14
-117.6310099,-0.18,0.04,308.14
-117.6310101,-0.18,0.01,308.14
-117.6310102,-0.18,0.03,308.14
-117.6310105,-0.18,0.02,308.14
-117.6310106,-0.17,0.03,308.14
-117.6310108,-0.17,0.02,308.14
-117.6310109,-0.17,0.09,308.14
-117.631011,-0.17,0.03,308.14
-117.631011,-0.16,0.06,308.14
-117.631011,-0.15,0.03,308.14
-117.631011,-0.15,0.08,308.14
-117.6310111,-0.14,0.02,308.14
-117.6310113,-0.13,0.04,308.14
-117.6310114,-0.12,0.01,308.14
-117.6310115,-0.12,0.04,308.14
-117.6310116,-0.11,0.03,308.14
-117.6310117,-0.11,0.03,308.14
-117.6310119,-0.11,0.04,308.14
-117.6310119,-0.1,0.07,308.14
-117.631012,-0.11,0.06,308.14
-117.6310122,-0.12,0.06,308.14
-117.6310124,-0.13,0.02,308.14
-117.6310126,-0.15,0.03,308.14
-117.6310128,-0.16,0.02,308.14
-117.631013,-0.16,0.06,308.14
-117.6310133,-0.17,0.09,308.14
-117.6310135,-0.17,0.04,308.14
-117.6310136,-0.17,0.09,308.14
-117.6310137,-0.17,0.08,308.14
-117.6310137,-0.17,0.02,308.14
-117.6310137,-0.17,0.03,308.14
-117.6310138,-0.17,0.07,308.14
-117.6310139,-0.17,0.08,308.14
-117.6310139,-0.17,0.03,308.14
-117.6310138,-0.18,0.03,308.14
-117.6310138,-0.19,0.11,308.14
-117.6310137,-0.19,0.02,308.14
-117.6310136,-0.19,0.07,308.14
-117.6310135,-0.2,0.07,308.14
-117.6310133,-0.2,0.07,308.14
-117.631013,-0.21,0.12,308.14
-117.6310128,-0.21,0.04,308.14
-117.6310127,-0.22,0.02,308.14
-117.6310125,-0.22,0.14,308.14
-117.6310122,-0.22,0.02,308.14
-117.6310121,-0.23,0.09,308.14
-117.631012,-0.24,0.01,308.14
-117.6310118,-0.25,0.06,308.14
-117.6310117,-0.26,0.06,308.14
-117.6310116,-0.27,0.04,308.14
-117.6310116,-0.27,0.08,308.14
-117.6310118,-0.26,0.07,308.14
-117.6310118,-0.26,0.09,308.14
-117.6310117,-0.25,0.04,308.14
-117.6310117,-0.24,0.01,308.14
-117.6310116,-0.23,0.04,308.14
-117.6310115,-0.21,0.04,308.14
-117.6310115,-0.2,0.04,308.14
-117.6310113,-0.19,0.04,308.14
-117.6310112,-0.18,0.06,308.14
-117.6310111,-0.18,0.06,308.14
-117.631011,-0.18,0.04,308.14
-117.631011,-0.19,0.01,308.14
-117.6310109,-0.19,0.03,308.14
-117.6310109,-0.2,0.04,308.14
-117.6310109,-0.21,0.07,308.14
-117.6310107,-0.21,0.02,308.14
-117.6310107,-0.21,0.04,308.14
-117.6310106,-0.21,0.04,308.14
-117.6310105,-0.21,0.03,308.14
-117.6310105,-0.21,0.03,308.14
-117.6310104,-0.2,0.02,308.14
-117.6310103,-0.2,0.04,308.14
-117.6310102,-0.19,0.02,308.14
-117.6310101,-0.18,0.08,308.14
-117.6310101,-0.18,0.03,308.14
-117.6310101,-0.17,0.04,308.14
-117.63101,-0.17,0.09,308.14
-117.6310099,-0.17,0.02,308.14
-117.63101,-0.16,0.04,308.14
-117.6310101,-0.16,0.03,308.14
-117.6310101,-0.15,0.03,308.14
-117.6310101,-0.14,0.03,308.14
-117.6310101,-0.13,0.04,308.14
-117.6310101,-0.12,0.06,308.14
-117.6310101,-0.1,0.04,308.14
-117.6310102,-0.09,0.02,308.14
-117.6310102,-0.08,0.08,308.14
-117.6310102,-0.08,0.02,308.14
-117.6310103,-0.07,0.04,308.14
-117.6310103,-0.07,0.03,308.14
-117.6310103,-0.08,0.11,308.14
-117.6310103,-0.08,0.03,308.14
-117.6310103,-0.08,0.02,308.14
-117.6310102,-0.09,0.02,308.14
-117.6310101,-0.09,0,308.14
-117.6310101,-0.1,0.03,308.14
-117.6310101,-0.1,0.04,308.14
-117.6310102,-0.11,0.08,308.14
-117.6310105,-0.12,0.06,308.14
-117.6310105,-0.13,0.09,308.14
-117.6310105,-0.14,0.06,308.14
-117.6310107,-0.16,0.08,308.14
-117.6310109,-0.17,0.06,308.14
-117.631011,-0.19,0.07,308.14
-117.6310111,-0.2,0.09,308.14
-117.6310111,-0.21,0.04,308.14
-117.6310112,-0.21,0.12,308.14
-117.6310113,-0.21,0.01,308.14
-117.6310113,-0.21,0.08,308.14
-117.6310115,-0.21,0.09,308.14
-117.6310115,-0.2,0.09,308.14
-117.6310114,-0.18,0.02,308.14
-117.6310115,-0.17,0.13,308.14
-117.6310117,-0.15,0.02,308.14
-117.6310116,-0.13,0.04,308.14
-117.6310115,-0.12,0.02,308.14
-117.6310116,-0.1,0.09,308.14
-117.6310117,-0.08,0.06,308.14
-117.6310117,-0.07,0.04,308.14
-117.6310115,-0.06,0.07,308.14
-117.6310114,-0.05,0.02,308.14
-117.6310112,-0.05,0.07,308.14
-117.6310112,-0.05,0.09,308.14
-117.6310112,-0.06,0.09,308.14
-117.6310113,-0.07,0.07,308.14
-117.6310114,-0.08,0.06,308.14
-117.6310114,-0.09,0.03,308.14
-117.6310112,-0.1,0.04,308.14
-117.6310113,-0.11,0.06,308.14
-117.6310111,-0.11,0.03,308.14
-117.6310112,-0.11,0.08,308.14
-117.631011,-0.12,0.07,308.14
-117.631011,-0.12,0.04,308.14
-117.6310114,-0.12,0.04,308.14
-117.6310115,-0.11,0.06,308.14
-117.6310116,-0.11,0,308.14
-117.6310116,-0.11,0.04,308.14
-117.6310115,-0.11,0.01,308.14
-117.6310115,-0.1,0.03,308.14
-117.6310115,-0.1,0.04,308.14
-117.6310115,-0.09,0.04,308.14
-117.6310117,-0.08,0.04,308.14
-117.6310118,-0.07,0.04,308.14
-117.6310118,-0.05,0.07,308.14
-117.6310119,-0.04,0.02,308.14
-117.631012,-0.02,0.02,308.14
-117.6310119,-0.01,0.04,308.14
-117.6310117,0,0.07,308.14
-117.6310116,0.01,0.07,308.14
-117.6310116,0.02,0.03,308.14
-117.6310114,0.02,0.09,308.14
-117.6310112,0.02,0.03,308.14
-117.631011,0.03,0.01,308.14
-117.6310109,0.04,0.04,308.14
-117.6310107,0.04,0.02,308.14
-117.6310106,0.05,0.06,308.14
-117.6310104,0.06,0.03,308.14
-117.6310102,0.06,0.04,308.14
-117.6310101,0.06,0.06,308.14
-117.6310101,0.05,0.11,308.14
-117.63101,0.05,0.04,308.14
-117.6310097,0.05,0.09,308.14
-117.6310095,0.04,0.07,308.14
-117.6310094,0.04,0.08,308.14
-117.6310092,0.03,0.09,308.14
-117.6310091,0.04,0.03,308.14
-117.631009,0.04,0.09,308.14
-117.6310089,0.06,0.04,308.14
-117.6310089,0.07,0.03,308.14
-117.6310088,0.09,0.04,308.14
-117.6310088,0.09,0.09,308.14
-117.6310088,0.1,0.06,308.14
-117.6310088,0.1,0.09,308.14
-117.6310088,0.1,0.02,308.14
-117.6310089,0.11,0.01,308.14
-117.6310091,0.12,0.01,308.14
-117.6310091,0.13,0.04,308.14
-117.6310092,0.13,0.03,308.14
-117.6310095,0.14,0.04,308.14
-117.6310097,0.15,0.07,308.14
-117.6310098,0.15,0.08,308.14
-117.63101,0.16,0.06,308.14
-117.6310101,0.16,0.01,308.14
-117.6310101,0.17,0.01,308.14
-117.6310102,0.18,0.02,308.14
-117.6310103,0.18,0.03,308.14
-117.6310103,0.2,0.01,308.14
-117.6310105,0.21,0.06,308.14
-117.6310106,0.22,0.03,308.14
-117.6310105,0.23,0.08,308.14
-117.6310104,0.24,0.04,308.14
-117.6310104,0.24,0.02,308.14
-117.6310104,0.24,0.03,308.14
-117.6310104,0.23,0.04,308.14
-117.6310103,0.22,0.09,308.14
-117.6310102,0.22,0.02,308.14
-117.6310102,0.22,0.04,308.14
-117.6310102,0.22,0.04,308.14
-117.6310101,0.22,0.04,308.14
-117.6310101,0.23,0.01,308.14
-117.6310102,0.24,0.04,308.14
-117.6310101,0.25,0.11,308.14
-117.6310101,0.26,0.02,308.14
-117.6310102,0.26,0.07,308.14
-117.6310102,0.27,0.07,308.14
-117.6310102,0.27,0.06,308.14
-117.6310102,0.28,0.08,308.14
-117.6310102,0.28,0.03,308.14
-117.6310103,0.28,0.04,308.14
-117.6310103,0.29,0.04,308.14
-117.6310103,0.29,0.02,308.14
-117.6310104,0.29,0.04,308.14
-117.6310106,0.29,0.07,308.14
-117.6310107,0.3,0.03,308.14
-117.6310108,0.3,0.01,308.14
-117.6310108,0.29,0.06,308.14
-117.6310111,0.29,0.04,308.14
-117.6310114,0.28,0.06,308.14
-117.6310115,0.27,0.04,308.14
-117.6310116,0.26,0.01,308.14
-117.6310118,0.25,0.03,308.14
